[07:40:07]  [NV01] - Xóa nhân viên thành công: d, d, Mật Khẩu: *, d@c.c, Chức vụ:Nhân Viên 
[07:40:18]  [NV01] - Update nhân viên thành công: ND, Tèo, Mật Khẩu: *, d@c.c, Chức vụ:Nhân Viên 
[07:40:24]  [NV01] - Xóa nhân viên thành công: ND, Tèo, Mật Khẩu: *, d@c.c, Chức vụ:Nhân Viên 
[07:44:02]  [NV01] - Update nhân viên thành công: NV04, Lương Công Thành, Mật Khẩu: *, thanhga61@gmail.com, Chức vụ:Trưởng Phòng 
[07:53:12]  [NV01] - Update nhân viên thành công: NV01, Lương Công Huấn, Mật Khẩu: *, huanluongcong@gmail.com, Chức vụ:Nhân Viên 
[07:54:02]  [NV01] - Update nhân viên thành công: NV05, Khấu Tuấn Kha, Mật Khẩu: *, aT@gmail.com, Chức vụ:Nhân Viên 
[07:54:54]  [NV01] - Insert nhân viên thành công: NV07, Lý Tiểu Long, Mật Khẩu: *, littedragon@gmail.com, Chức vụ:Trưởng Phòng 
[07:55:51]  [NV01] - Insert nhân viên thành công: NV08, Tiểu Long Nữ, Mật Khẩu: *, littlefemaledragon@gmail.com, Chức vụ:Trưởng Phòng 
[07:56:46]  [NV01] - Insert nhân viên thành công: NV09, Kim Jong un, Mật Khẩu: *, un@gmail.com, Chức vụ:Trưởng Phòng 
[07:57:32]  [NV01] - Insert nhân viên thành công: NV10, Ngô Tất Tố, Mật Khẩu: *, tatto@gmail.com, Chức vụ:Nhân Viên 
[07:57:54]  [NV01] - Update nhân viên thành công: NV09, Nguyễn Du, Mật Khẩu: *, un@gmail.com, Chức vụ:Trưởng Phòng 
[08:42:53]  [NV01] - Update nhân viên thành công: NV01, Lương Công Huấn, Mật Khẩu: *, huanluongcong@gmail.com, Chức vụ:Nhân Viên 
